Time, Node_71, Node_70, Node_69, Node_68, Node_67, Node_66, Node_65, Node_64, Node_63, Node_62, Node_61, Node_60, Node_59, Node_58, Node_57, Node_56, Node_55, Node_54, Node_53, Node_52, Node_51, Node_50, Node_49, Node_48, Node_47, Node_46, Node_45, Node_44, Node_43, Node_42, Node_41, Node_40, Node_39, Node_38, Node_37, Node_36, Node_35, Node_34, Node_33, Node_32, Node_31, Node_30, Node_29, Node_28, Node_27, Node_26, Node_25, Node_24, Node_23, Node_22, Node_21, Node_20, Node_19, Node_18, Node_17, Node_16, Node_15, Node_14, Node_13, Node_12, Node_11, Node_10, Node_9, Node_8, Node_7, Node_6, Node_5, Node_4, Node_3, Node_2, 
    11.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    11.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    12.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    12.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    12.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    12.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    13.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    13.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    13.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    13.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    14.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    14.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    14.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    14.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    15.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    15.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    15.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    15.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    16.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    16.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    16.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    16.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    17.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    17.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    17.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    17.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    18.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    18.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    18.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    18.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    19.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    19.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    19.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    19.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    20.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    20.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    20.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    20.500000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
    21.000000, 118000, 169750, 85375, 40375, 10750, 89000, 32500, 37750, 94375, 95500, 89875, 133750, 10750, 8000, 32375, 21500, 43125, 43125, 24250, 116875, 18875, 122500, 127000, 32375, 80875, 86375, 49375, 24250, 182125, 65125, 129250, 13375, 53875, 38125, 99875, 226000, 84250, 257500, 10750, 5375, 141625, 21500, 120250, 91750, 122500, 136000, 18875, 43125, 101125, 18875, 5375, 78625, 134875, 64000, 10750, 119125, 35000, 129250, 13375, 133750, 111250, 70750, 18875, 5375, 91750, 96625, 10750, 142750, 48500, 53875, 
